HiSeqV2.gz	HiSeqV2_curated_1.tsv	HiSeqV2_curated_2.tsv	T.tsv	N.tsv	R.tsv	M.tsv
ACC	20530 x 79 [1,1]	20530 x 79 [3,2]	20435 x 79 [2,2]	20435 x 79 [2,2]			
BLCA	20530 x 426 [1,1]	20530 x 426 [3,2]	20435 x 426 [2,2]	20435 x 407 [2,2]	20435 x 19 [2,2]		
BRCA	20530 x 1218 [1,1]	20530 x 1218 [3,2]	20435 x 1218 [2,2]	20435 x 1097 [2,2]	20435 x 114 [2,2]		20435 x 7 [2,2]
CESC	20530 x 308 [1,1]	20530 x 308 [3,2]	20435 x 308 [2,2]	20435 x 303 [2,2]	20435 x 3 [2,2]		20435 x 2 [2,2]
CHOL	20530 x 45 [1,1]	20530 x 45 [3,2]	20435 x 45 [2,2]	20435 x 36 [2,2]	20435 x 9 [2,2]		
COAD	20530 x 329 [1,1]	20530 x 329 [3,2]	20435 x 329 [2,2]	20435 x 286 [2,2]	20435 x 41 [2,2]	20435 x 1 [2,2]	20435 x 1 [2,2]
DLBC	20530 x 48 [1,1]	20530 x 48 [3,2]	20435 x 48 [2,2]	20435 x 48 [2,2]			
ESCA	20530 x 196 [1,1]	20530 x 196 [3,2]	20435 x 196 [2,2]	20435 x 184 [2,2]	20435 x 11 [2,2]		20435 x 1 [2,2]
GBM	20530 x 172 [1,1]	20530 x 172 [3,2]	20435 x 172 [2,2]	20435 x 154 [2,2]	20435 x 5 [2,2]	20435 x 13 [2,2]	
HNSC	20530 x 566 [1,1]	20530 x 566 [3,2]	20435 x 566 [2,2]	20435 x 520 [2,2]	20435 x 44 [2,2]		20435 x 2 [2,2]
KICH	20530 x 91 [1,1]	20530 x 91 [3,2]	20435 x 91 [2,2]	20435 x 66 [2,2]	20435 x 25 [2,2]		
KIRC	20530 x 606 [1,1]	20530 x 606 [3,2]	20435 x 606 [2,2]	20435 x 534 [2,2]	20435 x 72 [2,2]		
KIRP	20530 x 323 [1,1]	20530 x 323 [3,2]	20435 x 323 [2,2]	20435 x 291 [2,2]	20435 x 32 [2,2]		
LAML	20530 x 173 [1,1]	20530 x 173 [3,2]	20435 x 173 [2,2]	20435 x 173 [2,2]			
LGG	20530 x 530 [1,1]	20530 x 530 [3,2]	20435 x 530 [2,2]	20435 x 516 [2,2]		20435 x 14 [2,2]	
LIHC	20530 x 423 [1,1]	20530 x 423 [3,2]	20435 x 423 [2,2]	20435 x 371 [2,2]	20435 x 50 [2,2]	20435 x 2 [2,2]	
LUAD	20530 x 576 [1,1]	20530 x 576 [3,2]	20435 x 576 [2,2]	20435 x 515 [2,2]	20435 x 59 [2,2]	20435 x 2 [2,2]	
LUSC	20530 x 553 [1,1]	20530 x 553 [3,2]	20435 x 553 [2,2]	20435 x 502 [2,2]	20435 x 51 [2,2]		
MESO	20530 x 87 [1,1]	20530 x 87 [3,2]	20435 x 87 [2,2]	20435 x 87 [2,2]			
OV	20530 x 308 [1,1]	20530 x 308 [3,2]	20435 x 308 [2,2]	20435 x 304 [2,2]		20435 x 4 [2,2]	
PAAD	20530 x 183 [1,1]	20530 x 183 [3,2]	20435 x 183 [2,2]	20435 x 178 [2,2]	20435 x 4 [2,2]		20435 x 1 [2,2]
PCPG	20530 x 187 [1,1]	20530 x 187 [3,2]	20435 x 187 [2,2]	20435 x 182 [2,2]	20435 x 3 [2,2]		20435 x 2 [2,2]
PRAD	20530 x 550 [1,1]	20530 x 550 [3,2]	20435 x 550 [2,2]	20435 x 497 [2,2]	20435 x 52 [2,2]		20435 x 1 [2,2]
READ	20530 x 105 [1,1]	20530 x 105 [3,2]	20435 x 105 [2,2]	20435 x 94 [2,2]	20435 x 10 [2,2]	20435 x 1 [2,2]	
SARC	20530 x 265 [1,1]	20530 x 265 [3,2]	20435 x 265 [2,2]	20435 x 259 [2,2]	20435 x 2 [2,2]	20435 x 3 [2,2]	20435 x 1 [2,2]
SKCM	20530 x 474 [1,1]	20530 x 474 [3,2]	20435 x 474 [2,2]	20435 x 104 [2,2]	20435 x 1 [2,2]		20435 x 369 [2,2]
STAD	20530 x 450 [1,1]	20530 x 450 [3,2]	20435 x 450 [2,2]	20435 x 415 [2,2]	20435 x 35 [2,2]		
TGCT	20530 x 156 [1,1]	20530 x 156 [3,2]	20435 x 156 [2,2]	20435 x 156 [2,2]			
THCA	20530 x 572 [1,1]	20530 x 572 [3,2]	20435 x 572 [2,2]	20435 x 505 [2,2]	20435 x 59 [2,2]		20435 x 8 [2,2]
THYM	20530 x 122 [1,1]	20530 x 122 [3,2]	20435 x 122 [2,2]	20435 x 120 [2,2]	20435 x 2 [2,2]		
UCEC	20530 x 201 [1,1]	20530 x 201 [3,2]	20435 x 201 [2,2]	20435 x 176 [2,2]	20435 x 24 [2,2]	20435 x 1 [2,2]	
UCS	20530 x 57 [1,1]	20530 x 57 [3,2]	20435 x 57 [2,2]	20435 x 57 [2,2]			
UVM	20530 x 80 [1,1]	20530 x 80 [3,2]	20435 x 80 [2,2]	20435 x 80 [2,2]			
